,Organism,Protein Length
5512,Organism1,156
5513,Organism1,207
5514,Organism1,41
5515,Organism1,187
5516,Organism1,304
5517,Organism1,237
5518,Organism1,94
5519,Organism1,261
5520,Organism1,111
5521,Organism1,205
5522,Organism1,80
5523,Organism1,887
5524,Organism1,212
5525,Organism1,78
5526,Organism1,48
5527,Organism1,200
5528,Organism1,559
5529,Organism1,124
5530,Organism1,258
5531,Organism1,136
5532,Organism1,183
5533,Organism1,78
5534,Organism1,97
5535,Organism1,94
5536,Organism1,190
5537,Organism1,122
5538,Organism1,488
5539,Organism1,122
5540,Organism1,396
5541,Organism1,224
5542,Organism1,38
5543,Organism1,184
5544,Organism1,334
5545,Organism1,56
5546,Organism1,99
5547,Organism1,155
5548,Organism1,360
5549,Organism1,336
5550,Organism1,441
5551,Organism1,270
5552,Organism1,126
5553,Organism1,106
5554,Organism1,66
5555,Organism1,293
5556,Organism1,177
5557,Organism1,159
5558,Organism1,241
5559,Organism1,194
5560,Organism1,56
5561,Organism1,350
5562,Organism1,309
5563,Organism1,210
5564,Organism1,103
5565,Organism1,403
5566,Organism1,408
5567,Organism1,247
5568,Organism1,119
5569,Organism1,53
5570,Organism1,104
5571,Organism1,268
5572,Organism1,153
5573,Organism1,146
5574,Organism1,230
5575,Organism1,263
5576,Organism1,107
5577,Organism1,48
5578,Organism1,277
5579,Organism1,84
5580,Organism1,38
5581,Organism1,141
5582,Organism1,249
5583,Organism1,68
5584,Organism1,236
5585,Organism1,65
5586,Organism1,74
5587,Organism1,54
5588,Organism1,260
5589,Organism1,491
5590,Organism1,161
5591,Organism1,549
5592,Organism1,398
5593,Organism1,182
5594,Organism1,188
5595,Organism1,211
5596,Organism1,474
5597,Organism1,138
5598,Organism1,169
5599,Organism1,102
5600,Organism1,101
5601,Organism1,768
5602,Organism1,45
5603,Organism1,226
5604,Organism1,165
5605,Organism1,591
5606,Organism1,156
5607,Organism1,55
5608,Organism1,493
5609,Organism1,170
5610,Organism1,353
5611,Organism1,334
5612,Organism1,453
5613,Organism1,129
5614,Organism1,203
5615,Organism1,396
5616,Organism1,148
5617,Organism1,115
5618,Organism1,528
5619,Organism1,110
5620,Organism1,183
5621,Organism1,339
5622,Organism1,382
5623,Organism1,463
5624,Organism1,151
5625,Organism1,108
5626,Organism1,302
5627,Organism1,364
5628,Organism1,43
5629,Organism1,129
5630,Organism1,161
5631,Organism1,183
5632,Organism1,88
5633,Organism1,42
5634,Organism1,267
5635,Organism1,110
5636,Organism1,506
5637,Organism1,441
5638,Organism1,470
5639,Organism1,261
5640,Organism1,220
5641,Organism1,103
5642,Organism1,102
5643,Organism1,390
5644,Organism1,155
5645,Organism1,366
5646,Organism1,180
5647,Organism1,318
5648,Organism1,150
5649,Organism1,379
5650,Organism1,348
5651,Organism1,52
5652,Organism1,81
5653,Organism1,610
5654,Organism1,71
5655,Organism1,150
5656,Organism1,45
5657,Organism1,209
5658,Organism1,151
5659,Organism1,164
5660,Organism1,288
5661,Organism1,37
5662,Organism1,47
5663,Organism1,114
5664,Organism1,49
5665,Organism1,151
5666,Organism1,406
5667,Organism1,447
5668,Organism1,282
5669,Organism1,213
5670,Organism1,105
5671,Organism1,716
5672,Organism1,60
5673,Organism1,221
5674,Organism1,84
5675,Organism1,245
5676,Organism1,109
5677,Organism1,72
5678,Organism1,482
5679,Organism1,443
5680,Organism1,505
5681,Organism1,191
5682,Organism1,181
5683,Organism1,287
5684,Organism1,194
5685,Organism1,55
5686,Organism1,359
5687,Organism1,360
5688,Organism1,208
5689,Organism1,281
5690,Organism1,184
5691,Organism1,92
5692,Organism1,107
5693,Organism1,273
5694,Organism1,204
5695,Organism1,465
5696,Organism1,266
5697,Organism1,45
5698,Organism1,374
5699,Organism1,43
5700,Organism1,579
5701,Organism1,47
5702,Organism1,332
5703,Organism1,80
5704,Organism1,343
5705,Organism1,176
5706,Organism1,55
5707,Organism1,406
5708,Organism1,466
5709,Organism1,204
5710,Organism1,88
5711,Organism1,64
5712,Organism1,378
5713,Organism1,206
5714,Organism1,97
5715,Organism1,436
5716,Organism1,64
5717,Organism1,70
5718,Organism1,49
5719,Organism1,112
5720,Organism1,252
5721,Organism1,296
5722,Organism1,275
5723,Organism1,73
5724,Organism1,57
5725,Organism1,111
5726,Organism1,310
5727,Organism1,103
5728,Organism1,68
5729,Organism1,161
5730,Organism1,317
5731,Organism1,330
5732,Organism1,144
5733,Organism1,753
5734,Organism1,413
5735,Organism1,80
5736,Organism1,265
5737,Organism1,482
5738,Organism1,213
5739,Organism1,374
5740,Organism1,126
5741,Organism1,141
5742,Organism1,354
5743,Organism1,229
5744,Organism1,44
5745,Organism1,58
5746,Organism1,182
5747,Organism1,341
5748,Organism1,79
5749,Organism1,369
5750,Organism1,145
5751,Organism1,66
5752,Organism1,147
5753,Organism1,257
5754,Organism1,93
5755,Organism1,168
5756,Organism1,40
5757,Organism1,237
5758,Organism1,396
5759,Organism1,116
5760,Organism1,85
5761,Organism1,203
5762,Organism1,46
5763,Organism1,71
5764,Organism1,72
5765,Organism1,481
5766,Organism1,198
5767,Organism1,44
5768,Organism1,45
5769,Organism1,523
5770,Organism1,420
5771,Organism1,311
5772,Organism1,116
5773,Organism1,383
5774,Organism1,109
5775,Organism1,222
5776,Organism1,373
5777,Organism1,189
5778,Organism1,168
5779,Organism1,445
5780,Organism1,250
5781,Organism1,59
5782,Organism1,41
5783,Organism1,292
5784,Organism1,118
5785,Organism1,247
5786,Organism1,640
5787,Organism1,121
5788,Organism1,59
5789,Organism1,354
5790,Organism1,86
5791,Organism1,435
5792,Organism1,53
5793,Organism1,57
5794,Organism1,460
5795,Organism1,308
5796,Organism1,428
5797,Organism1,337
5798,Organism1,298
5799,Organism1,169
5800,Organism1,52
5801,Organism1,239
5802,Organism1,168
5803,Organism1,183
5804,Organism1,163
5805,Organism1,158
5806,Organism1,256
5807,Organism1,197
5808,Organism1,53
5809,Organism1,119
5810,Organism1,190
5811,Organism1,275
5812,Organism1,377
5813,Organism1,142
5814,Organism1,192
5815,Organism1,359
5816,Organism1,81
5817,Organism1,80
5818,Organism1,56
5819,Organism1,204
5820,Organism1,162
5821,Organism1,206
5822,Organism1,240
5823,Organism1,64
5824,Organism1,173
5825,Organism1,306
5826,Organism1,206
5827,Organism1,40
5828,Organism1,303
5829,Organism1,271
5830,Organism1,61
5831,Organism1,115
5832,Organism1,87
5833,Organism1,76
5834,Organism1,281
5835,Organism1,83
5836,Organism1,199
5837,Organism1,38
5838,Organism1,762
5839,Organism1,399
5840,Organism1,43
5841,Organism1,331
5842,Organism1,538
5843,Organism1,41
5844,Organism1,754
5845,Organism1,121
5846,Organism1,67
5847,Organism1,70
5848,Organism1,326
5849,Organism1,104
5850,Organism1,162
5851,Organism1,76
5852,Organism1,643
5853,Organism1,286
5854,Organism1,428
5855,Organism1,369
5856,Organism1,39
5857,Organism1,348
5858,Organism1,747
5859,Organism1,348
5860,Organism1,138
5861,Organism1,78
5862,Organism1,107
5863,Organism1,404
5864,Organism1,453
5865,Organism1,168
5866,Organism1,252
5867,Organism1,842
5868,Organism1,62
5869,Organism1,187
5870,Organism1,92
5871,Organism1,301
5872,Organism1,841
5873,Organism1,172
5874,Organism1,243
5875,Organism1,114
5876,Organism1,243
5877,Organism1,948
5878,Organism1,80
5879,Organism1,124
5880,Organism1,138
5881,Organism1,314
5882,Organism1,76
5883,Organism1,269
5884,Organism1,257
5885,Organism1,184
5886,Organism1,85
5887,Organism1,41
5888,Organism1,58
5889,Organism1,72
5890,Organism1,44
5891,Organism1,60
5892,Organism1,181
5893,Organism1,62
5894,Organism1,48
5895,Organism1,45
5896,Organism1,203
5897,Organism1,419
5898,Organism1,134
5899,Organism1,62
5900,Organism1,50
5901,Organism1,56
5902,Organism1,48
5903,Organism1,701
5904,Organism1,39
5905,Organism1,42
5906,Organism1,381
5907,Organism1,87
5908,Organism1,178
5909,Organism1,41
5910,Organism1,165
5911,Organism1,98
5912,Organism1,1028
5913,Organism1,236
5914,Organism1,52
5915,Organism1,156
5916,Organism1,197
5917,Organism1,84
5918,Organism1,480
5919,Organism1,196
5920,Organism1,259
5921,Organism1,180
5922,Organism1,696
5923,Organism1,447
5924,Organism1,252
5925,Organism1,212
5926,Organism1,206
5927,Organism1,179
5928,Organism1,164
5929,Organism1,150
5930,Organism1,157
5931,Organism1,274
5932,Organism1,48
5933,Organism1,626
5934,Organism1,171
5935,Organism1,611
5936,Organism1,44
5937,Organism1,72
5938,Organism1,293
5939,Organism1,112
5940,Organism1,678
5941,Organism1,378
5942,Organism1,48
5943,Organism1,167
5944,Organism1,70
5945,Organism1,293
5946,Organism1,135
5947,Organism1,120
5948,Organism1,52
5949,Organism1,405
5950,Organism1,48
5951,Organism1,51
5952,Organism1,343
5953,Organism1,319
5954,Organism1,315
5955,Organism1,96
5956,Organism1,367
5957,Organism1,197
5958,Organism1,110
5959,Organism1,185
5960,Organism1,282
5961,Organism1,216
5962,Organism1,375
5963,Organism1,137
5964,Organism1,66
5965,Organism1,253
5966,Organism1,296
5967,Organism1,209
5968,Organism1,216
5969,Organism1,377
5970,Organism1,171
5971,Organism1,53
5972,Organism1,199
5973,Organism1,302
5974,Organism1,228
5975,Organism1,155
5976,Organism1,468
5977,Organism1,1448
5978,Organism1,130
5979,Organism1,297
5980,Organism1,140
5981,Organism1,205
5982,Organism1,2480
5983,Organism1,124
5984,Organism1,283
5985,Organism1,325
5986,Organism1,119
5987,Organism1,71
5988,Organism1,38
5989,Organism1,156
5990,Organism1,453
5991,Organism1,421
5992,Organism1,77
5993,Organism1,223
5994,Organism1,76
5995,Organism1,339
5996,Organism1,206
5997,Organism1,429
5998,Organism1,110
5999,Organism1,127
6000,Organism1,107
6001,Organism1,85
6002,Organism1,439
6003,Organism1,391
6004,Organism1,91
6005,Organism1,40
6006,Organism1,68
6007,Organism1,252
6008,Organism1,95
6009,Organism1,235
6010,Organism1,53
6011,Organism1,156
6012,Organism1,279
6013,Organism1,80
6014,Organism1,151
6015,Organism1,116
6016,Organism1,138
6017,Organism1,53
6018,Organism1,186
6019,Organism1,114
6020,Organism1,288
6021,Organism1,80
6022,Organism1,122
6023,Organism1,57
6024,Organism1,266
6025,Organism1,133
6026,Organism1,89
6027,Organism1,48
6028,Organism1,414
6029,Organism1,151
6030,Organism1,156
6031,Organism1,290
6032,Organism1,296
6033,Organism1,344
6034,Organism1,286
6035,Organism1,375
6036,Organism1,106
6037,Organism1,414
6038,Organism1,143
6039,Organism1,309
6040,Organism1,244
6041,Organism1,322
6042,Organism1,221
6043,Organism1,130
6044,Organism1,39
6045,Organism1,495
6046,Organism1,119
6047,Organism1,109
6048,Organism1,406
6049,Organism1,143
6050,Organism1,162
6051,Organism1,89
6052,Organism1,426
6053,Organism1,195
6054,Organism1,873
6055,Organism1,104
6056,Organism1,106
6057,Organism1,133
6058,Organism1,39
6059,Organism1,368
6060,Organism1,249
6061,Organism1,356
6062,Organism1,140
6063,Organism1,258
6064,Organism1,79
6065,Organism1,152
6066,Organism1,315
6067,Organism1,225
6068,Organism1,171
6069,Organism1,304
6070,Organism1,225
6071,Organism1,535
6072,Organism1,37
6073,Organism1,52
6074,Organism1,38
6075,Organism1,237
6076,Organism1,49
6077,Organism1,217
6078,Organism1,349
6079,Organism1,367
6080,Organism1,193
6081,Organism1,221
6082,Organism1,55
6083,Organism1,349
6084,Organism1,592
6085,Organism1,108
6086,Organism1,376
6087,Organism1,57
6088,Organism1,132
6089,Organism1,126
6090,Organism1,118
6091,Organism1,262
6092,Organism1,106
6093,Organism1,56
6094,Organism1,485
6095,Organism1,319
6096,Organism1,43
6097,Organism1,336
6098,Organism1,220
6099,Organism1,93
6100,Organism1,147
6101,Organism1,315
6102,Organism1,76
6103,Organism1,81
6104,Organism1,40
6105,Organism1,201
6106,Organism1,333
6107,Organism1,43
6108,Organism1,41
6109,Organism1,62
6110,Organism1,179
6111,Organism1,160
6112,Organism1,332
6113,Organism1,52
6114,Organism1,302
6115,Organism1,238
6116,Organism1,253
6117,Organism1,283
6118,Organism1,50
6119,Organism1,50
6120,Organism1,111
6121,Organism1,157
6122,Organism1,43
6123,Organism1,176
6124,Organism1,549
6125,Organism1,281
6126,Organism1,41
6127,Organism1,71
6128,Organism1,507
6129,Organism1,40
0,Organism2,168
1,Organism2,468
2,Organism2,360
3,Organism2,151
4,Organism2,1264
5,Organism2,180
6,Organism2,365
7,Organism2,518
8,Organism2,135
9,Organism2,454
10,Organism2,91
11,Organism2,312
12,Organism2,388
13,Organism2,94
14,Organism2,387
15,Organism2,1060
16,Organism2,395
17,Organism2,337
18,Organism2,302
19,Organism2,737
20,Organism2,609
21,Organism2,311
22,Organism2,456
23,Organism2,315
24,Organism2,242
25,Organism2,203
26,Organism2,72
27,Organism2,101
28,Organism2,152
29,Organism2,72
30,Organism2,275
31,Organism2,194
32,Organism2,213
33,Organism2,433
34,Organism2,277
35,Organism2,397
36,Organism2,176
37,Organism2,193
38,Organism2,578
39,Organism2,142
40,Organism2,374
41,Organism2,311
42,Organism2,141
43,Organism2,307
44,Organism2,164
45,Organism2,541
46,Organism2,501
47,Organism2,378
48,Organism2,798
49,Organism2,265
50,Organism2,150
51,Organism2,276
52,Organism2,430
53,Organism2,295
54,Organism2,130
55,Organism2,201
56,Organism2,342
57,Organism2,179
58,Organism2,112
59,Organism2,598
60,Organism2,457
61,Organism2,358
62,Organism2,187
63,Organism2,281
64,Organism2,276
65,Organism2,642
66,Organism2,417
67,Organism2,148
68,Organism2,487
69,Organism2,374
70,Organism2,356
71,Organism2,408
72,Organism2,632
73,Organism2,489
74,Organism2,78
75,Organism2,76
76,Organism2,309
77,Organism2,181
78,Organism2,212
79,Organism2,229
80,Organism2,117
81,Organism2,331
82,Organism2,262
83,Organism2,208
84,Organism2,394
85,Organism2,347
86,Organism2,395
87,Organism2,348
88,Organism2,326
89,Organism2,628
90,Organism2,348
91,Organism2,204
92,Organism2,157
93,Organism2,577
94,Organism2,676
95,Organism2,242
96,Organism2,510
97,Organism2,436
98,Organism2,278
99,Organism2,449
100,Organism2,1196
101,Organism2,422
102,Organism2,467
103,Organism2,414
104,Organism2,313
105,Organism2,144
106,Organism2,289
107,Organism2,313
108,Organism2,447
109,Organism2,340
110,Organism2,345
111,Organism2,453
112,Organism2,412
113,Organism2,186
114,Organism2,139
115,Organism2,288
116,Organism2,170
117,Organism2,476
118,Organism2,290
119,Organism2,465
120,Organism2,220
121,Organism2,315
122,Organism2,140
123,Organism2,327
124,Organism2,446
125,Organism2,179
126,Organism2,447
127,Organism2,458
128,Organism2,611
129,Organism2,209
130,Organism2,317
131,Organism2,676
132,Organism2,194
133,Organism2,296
134,Organism2,233
135,Organism2,230
136,Organism2,485
137,Organism2,131
138,Organism2,384
139,Organism2,207
140,Organism2,157
141,Organism2,575
142,Organism2,308
143,Organism2,756
144,Organism2,283
145,Organism2,339
146,Organism2,276
147,Organism2,220
148,Organism2,342
149,Organism2,259
150,Organism2,410
151,Organism2,293
152,Organism2,280
153,Organism2,233
154,Organism2,693
155,Organism2,440
156,Organism2,199
157,Organism2,406
158,Organism2,153
159,Organism2,253
160,Organism2,868
161,Organism2,389
162,Organism2,298
163,Organism2,276
164,Organism2,237
165,Organism2,456
166,Organism2,282
167,Organism2,321
168,Organism2,336
169,Organism2,668
170,Organism2,271
171,Organism2,152
172,Organism2,417
173,Organism2,325
174,Organism2,556
175,Organism2,589
176,Organism2,242
177,Organism2,173
178,Organism2,313
179,Organism2,217
180,Organism2,149
181,Organism2,269
182,Organism2,219
183,Organism2,524
184,Organism2,215
185,Organism2,508
186,Organism2,132
187,Organism2,49
188,Organism2,66
189,Organism2,226
190,Organism2,321
191,Organism2,178
192,Organism2,255
193,Organism2,361
194,Organism2,102
195,Organism2,146
196,Organism2,118
197,Organism2,59
198,Organism2,185
199,Organism2,323
200,Organism2,229
201,Organism2,178
202,Organism2,171
203,Organism2,409
204,Organism2,704
205,Organism2,428
206,Organism2,198
207,Organism2,858
208,Organism2,270
209,Organism2,115
210,Organism2,739
211,Organism2,182
212,Organism2,89
213,Organism2,145
214,Organism2,143
215,Organism2,518
216,Organism2,72
217,Organism2,127
218,Organism2,235
219,Organism2,325
220,Organism2,252
221,Organism2,438
222,Organism2,226
223,Organism2,445
224,Organism2,44
225,Organism2,520
226,Organism2,685
227,Organism2,145
228,Organism2,300
229,Organism2,273
230,Organism2,154
231,Organism2,38
232,Organism2,118
233,Organism2,62
234,Organism2,312
235,Organism2,251
236,Organism2,83
237,Organism2,237
238,Organism2,50
239,Organism2,536
240,Organism2,263
241,Organism2,96
242,Organism2,190
243,Organism2,262
244,Organism2,59
245,Organism2,99
246,Organism2,132
247,Organism2,427
248,Organism2,88
249,Organism2,430
250,Organism2,103
251,Organism2,308
252,Organism2,103
253,Organism2,174
254,Organism2,313
255,Organism2,159
256,Organism2,645
257,Organism2,211
258,Organism2,271
259,Organism2,144
260,Organism2,1207
261,Organism2,58
262,Organism2,845
263,Organism2,435
264,Organism2,116
265,Organism2,137
266,Organism2,202
267,Organism2,420
268,Organism2,354
269,Organism2,161
270,Organism2,246
271,Organism2,368
272,Organism2,224
273,Organism2,563
274,Organism2,113
275,Organism2,220
276,Organism2,132
277,Organism2,669
278,Organism2,70
279,Organism2,458
280,Organism2,188
281,Organism2,214
282,Organism2,188
283,Organism2,347
284,Organism2,788
285,Organism2,216
286,Organism2,237
287,Organism2,279
288,Organism2,266
289,Organism2,261
290,Organism2,804
291,Organism2,160
292,Organism2,95
293,Organism2,166
294,Organism2,494
295,Organism2,102
296,Organism2,303
297,Organism2,264
298,Organism2,116
299,Organism2,311
300,Organism2,74
301,Organism2,115
302,Organism2,381
303,Organism2,275
304,Organism2,295
305,Organism2,291
306,Organism2,807
307,Organism2,295
308,Organism2,122
309,Organism2,427
310,Organism2,339
311,Organism2,89
312,Organism2,202
313,Organism2,210
314,Organism2,203
315,Organism2,92
316,Organism2,420
317,Organism2,447
318,Organism2,275
319,Organism2,184
320,Organism2,357
321,Organism2,121
322,Organism2,216
323,Organism2,305
324,Organism2,300
325,Organism2,320
326,Organism2,363
327,Organism2,880
328,Organism2,297
329,Organism2,89
330,Organism2,131
331,Organism2,59
332,Organism2,61
333,Organism2,433
334,Organism2,154
335,Organism2,312
336,Organism2,156
337,Organism2,572
338,Organism2,318
339,Organism2,418
340,Organism2,49
341,Organism2,140
342,Organism2,389
343,Organism2,926
344,Organism2,62
345,Organism2,122
346,Organism2,404
347,Organism2,88
348,Organism2,166
349,Organism2,450
350,Organism2,89
351,Organism2,1217
352,Organism2,276
353,Organism2,180
354,Organism2,193
355,Organism2,202
356,Organism2,100
357,Organism2,148
358,Organism2,447
359,Organism2,390
360,Organism2,665
361,Organism2,119
362,Organism2,218
363,Organism2,513
364,Organism2,343
365,Organism2,57
366,Organism2,179
367,Organism2,343
368,Organism2,300
369,Organism2,275
370,Organism2,129
371,Organism2,462
372,Organism2,88
373,Organism2,287
374,Organism2,333
375,Organism2,49
376,Organism2,324
377,Organism2,498
378,Organism2,103
379,Organism2,435
380,Organism2,348
381,Organism2,348
382,Organism2,342
383,Organism2,204
384,Organism2,115
385,Organism2,375
386,Organism2,101
387,Organism2,153
388,Organism2,336
389,Organism2,302
390,Organism2,694
391,Organism2,392
392,Organism2,211
393,Organism2,348
394,Organism2,177
395,Organism2,357
396,Organism2,238
397,Organism2,183
398,Organism2,91
399,Organism2,240
400,Organism2,82
401,Organism2,226
402,Organism2,316
403,Organism2,79
404,Organism2,485
405,Organism2,589
406,Organism2,183
407,Organism2,593
408,Organism2,880
409,Organism2,239
410,Organism2,159
411,Organism2,140
412,Organism2,211
413,Organism2,214
414,Organism2,287
415,Organism2,104
416,Organism2,80
417,Organism2,100
418,Organism2,164
419,Organism2,232
420,Organism2,423
421,Organism2,209
422,Organism2,470
423,Organism2,272
424,Organism2,568
425,Organism2,326
426,Organism2,423
427,Organism2,262
428,Organism2,357
429,Organism2,268
430,Organism2,209
431,Organism2,338
432,Organism2,59
433,Organism2,89
434,Organism2,189
435,Organism2,323
436,Organism2,224
437,Organism2,92
438,Organism2,497
439,Organism2,209
440,Organism2,369
441,Organism2,186
442,Organism2,303
443,Organism2,228
444,Organism2,388
445,Organism2,102
446,Organism2,279
447,Organism2,579
448,Organism2,163
449,Organism2,448
450,Organism2,426
451,Organism2,239
452,Organism2,101
453,Organism2,432
454,Organism2,310
455,Organism2,626
456,Organism2,250
457,Organism2,297
458,Organism2,197
459,Organism2,141
460,Organism2,296
461,Organism2,255
462,Organism2,307
463,Organism2,202
464,Organism2,331
465,Organism2,117
466,Organism2,175
467,Organism2,354
468,Organism2,185
469,Organism2,274
470,Organism2,477
471,Organism2,176
472,Organism2,147
473,Organism2,432
474,Organism2,170
475,Organism2,159
476,Organism2,334
477,Organism2,469
478,Organism2,299
479,Organism2,148
480,Organism2,198
481,Organism2,336
482,Organism2,458
483,Organism2,86
484,Organism2,82
485,Organism2,125
486,Organism2,230
487,Organism2,119
488,Organism2,146
489,Organism2,201
490,Organism2,291
491,Organism2,121
492,Organism2,347
493,Organism2,178
494,Organism2,127
495,Organism2,484
496,Organism2,541
497,Organism2,133
498,Organism2,387
499,Organism2,255
500,Organism2,502
501,Organism2,681
502,Organism2,397
503,Organism2,238
504,Organism2,379
505,Organism2,104
506,Organism2,287
507,Organism2,46
508,Organism2,329
509,Organism2,72
510,Organism2,319
511,Organism2,283
512,Organism2,59
513,Organism2,155
514,Organism2,222
515,Organism2,104
516,Organism2,147
517,Organism2,289
518,Organism2,63
519,Organism2,342
520,Organism2,96
521,Organism2,72
522,Organism2,322
523,Organism2,135
524,Organism2,69
525,Organism2,570
526,Organism2,286
527,Organism2,72
528,Organism2,83
529,Organism2,95
530,Organism2,61
531,Organism2,324
532,Organism2,250
533,Organism2,121
534,Organism2,551
535,Organism2,326
536,Organism2,547
537,Organism2,136
538,Organism2,266
539,Organism2,464
540,Organism2,329
541,Organism2,124
542,Organism2,226
543,Organism2,300
544,Organism2,271
545,Organism2,322
546,Organism2,367
547,Organism2,430
548,Organism2,243
549,Organism2,241
550,Organism2,254
551,Organism2,295
552,Organism2,387
553,Organism2,107
554,Organism2,147
555,Organism2,466
556,Organism2,176
557,Organism2,750
558,Organism2,228
559,Organism2,165
560,Organism2,304
561,Organism2,367
562,Organism2,250
563,Organism2,854
564,Organism2,120
565,Organism2,97
566,Organism2,59
567,Organism2,122
568,Organism2,273
569,Organism2,55
570,Organism2,334
571,Organism2,262
572,Organism2,160
573,Organism2,390
574,Organism2,151
575,Organism2,239
576,Organism2,78
577,Organism2,303
578,Organism2,434
579,Organism2,141
580,Organism2,355
581,Organism2,79
582,Organism2,56
583,Organism2,333
584,Organism2,593
585,Organism2,236
586,Organism2,275
587,Organism2,369
588,Organism2,193
589,Organism2,463
590,Organism2,364
591,Organism2,382
592,Organism2,228
593,Organism2,155
594,Organism2,580
595,Organism2,132
596,Organism2,129
597,Organism2,974
598,Organism2,603
599,Organism2,270
600,Organism2,247
601,Organism2,150
602,Organism2,35
603,Organism2,1987
604,Organism2,496
605,Organism2,467
606,Organism2,164
607,Organism2,82
608,Organism2,362
609,Organism2,316
610,Organism2,147
611,Organism2,31
612,Organism2,863
613,Organism2,55
614,Organism2,343
615,Organism2,686
616,Organism2,133
617,Organism2,474
618,Organism2,98
619,Organism2,498
620,Organism2,1109
621,Organism2,321
622,Organism2,229
623,Organism2,157
624,Organism2,147
625,Organism2,402
626,Organism2,431
627,Organism2,229
628,Organism2,207
629,Organism2,713
630,Organism2,206
631,Organism2,358
632,Organism2,278
633,Organism2,382
634,Organism2,33
635,Organism2,309
636,Organism2,116
637,Organism2,142
638,Organism2,433
639,Organism2,114
640,Organism2,186
641,Organism2,296
642,Organism2,90
643,Organism2,235
644,Organism2,106
645,Organism2,306
646,Organism2,441
647,Organism2,243
648,Organism2,301
649,Organism2,106
650,Organism2,124
651,Organism2,145
652,Organism2,277
653,Organism2,109
654,Organism2,43
655,Organism2,72
656,Organism2,392
657,Organism2,249
658,Organism2,281
659,Organism2,257
660,Organism2,530
661,Organism2,162
662,Organism2,993
663,Organism2,161
664,Organism2,139
665,Organism2,146
666,Organism2,250
667,Organism2,937
668,Organism2,236
669,Organism2,271
670,Organism2,107
671,Organism2,50
672,Organism2,200
673,Organism2,478
674,Organism2,389
675,Organism2,235
676,Organism2,299
677,Organism2,130
678,Organism2,459
679,Organism2,527
680,Organism2,311
681,Organism2,446
682,Organism2,361
683,Organism2,71
684,Organism2,255
685,Organism2,114
686,Organism2,36
687,Organism2,366
688,Organism2,344
689,Organism2,46
690,Organism2,276
691,Organism2,315
692,Organism2,104
693,Organism2,97
694,Organism2,177
695,Organism2,585
696,Organism2,143
697,Organism2,66
698,Organism2,266
699,Organism2,64
700,Organism2,150
701,Organism2,299
702,Organism2,184
703,Organism2,369
704,Organism2,119
705,Organism2,205
706,Organism2,272
707,Organism2,710
708,Organism2,136
709,Organism2,324
710,Organism2,77
711,Organism2,161
712,Organism2,63
713,Organism2,34
714,Organism2,716
715,Organism2,89
716,Organism2,220
717,Organism2,230
718,Organism2,289
719,Organism2,64
720,Organism2,541
721,Organism2,56
722,Organism2,230
723,Organism2,30
724,Organism2,472
725,Organism2,172
726,Organism2,294
727,Organism2,1045
728,Organism2,288
729,Organism2,157
730,Organism2,76
731,Organism2,383
732,Organism2,141
733,Organism2,209
734,Organism2,371
735,Organism2,134
736,Organism2,127
737,Organism2,75
738,Organism2,321
739,Organism2,592
740,Organism2,166
741,Organism2,459
742,Organism2,244
743,Organism2,403
744,Organism2,270
745,Organism2,27
746,Organism2,145
747,Organism2,346
748,Organism2,767
749,Organism2,92
750,Organism2,82
751,Organism2,422
752,Organism2,280
753,Organism2,112
754,Organism2,336
755,Organism2,455
756,Organism2,431
757,Organism2,171
758,Organism2,493
759,Organism2,248
760,Organism2,132
761,Organism2,210
762,Organism2,449
763,Organism2,110
764,Organism2,282
765,Organism2,161
766,Organism2,282
767,Organism2,340
768,Organism2,67
769,Organism2,593
770,Organism2,610
771,Organism2,355
772,Organism2,77
773,Organism2,645
774,Organism2,412
775,Organism2,293
776,Organism2,164
777,Organism2,299
778,Organism2,138
779,Organism2,688
780,Organism2,964
781,Organism2,380
782,Organism2,164
783,Organism2,124
784,Organism2,149
785,Organism2,37
786,Organism2,156
787,Organism2,254
788,Organism2,161
789,Organism2,127
790,Organism2,151
791,Organism2,575
792,Organism2,272
793,Organism2,193
794,Organism2,76
795,Organism2,144
796,Organism2,61
797,Organism2,815
798,Organism2,175
799,Organism2,227
800,Organism2,680
801,Organism2,226
802,Organism2,327
803,Organism2,297
804,Organism2,144
805,Organism2,49
806,Organism2,66
807,Organism2,1210
808,Organism2,45
809,Organism2,217
810,Organism2,162
811,Organism2,190
812,Organism2,707
813,Organism2,30
814,Organism2,381
815,Organism2,192
816,Organism2,45
817,Organism2,146
818,Organism2,732
819,Organism2,394
820,Organism2,155
821,Organism2,478
822,Organism2,276
823,Organism2,245
824,Organism2,221
825,Organism2,364
826,Organism2,233
827,Organism2,255
828,Organism2,222
829,Organism2,293
830,Organism2,143
831,Organism2,324
832,Organism2,359
833,Organism2,132
834,Organism2,252
835,Organism2,1259
836,Organism2,281
837,Organism2,69
838,Organism2,59
839,Organism2,208
840,Organism2,77
841,Organism2,351
842,Organism2,122
843,Organism2,44
844,Organism2,179
845,Organism2,231
846,Organism2,133
847,Organism2,693
848,Organism2,380
849,Organism2,196
850,Organism2,340
851,Organism2,505
852,Organism2,495
853,Organism2,32
854,Organism2,259
855,Organism2,244
856,Organism2,163
857,Organism2,208
858,Organism2,331
859,Organism2,141
860,Organism2,287
861,Organism2,304
862,Organism2,120
863,Organism2,34
864,Organism2,556
865,Organism2,53
